id,ip_address,created,recaptcha_score,salarymx,salaryusd,extramx,extrausd,variation,english_num,english_label,age,experience,seniority,country,city,profile,edutype,orgtype,emptype,remote,gender,education,act_dba,act_req,act_arq,act_bi,act_cap,act_dsc,act_spi,act_cons,act_dir,act_doc,act_techwrite,act_devops,act_erp,act_deng,act_techsales,act_prog,act_front,act_pm,act_infosec,act_soporte,act_test,act_uxd,act_ventas,lang_bash,lang_csharp,lang_clang,lang_cobol,lang_dart,lang_delphi,lang_elixir,lang_assm,lang_go,lang_groovy,lang_java,lang_js,lang_kotlin,lang_objc,lang_perl,lang_php,lang_plsql,lang_python,lang_rlang,lang_ruby,lang_rust,lang_scala,lang_swift,lang_vbnet,front_angular,front_phonegap,front_electron,front_flutter,front_ionic,front_ntscript,front_qt,front_react,front_unity,front_vue,front_xamarin,db_dynamo,db_cosmos,db_cassandra,db_elastic,db_firebasert,db_firestore,db_DB2,db_sqlserver,db_mongoDB,db_mysql,db_neo4j,db_oracle,db_pgsql,db_redis,db_sap,dsc_alteryx,dsc_azureml,dsc_dataiku,dsc_domino,dsc_h2o,dsc_watson,dsc_knime,dsc_rapidminer,dsc_sas,dsc_tf,infra_ansible,infra_chef,infra_docker,infra_k8s,infra_oshift,infra_ostack,infra_puppet,infra_terraform,infra_vmware,cert_agile,cert_android,cert_awsdev,cert_awsarch,cert_ba,cert_cisco,cert_cobit,cert_entarch,cert_cgeit,cert_gcloudarch,cert_gdata,cert_gweb,cert_itilint,cert_itilpra,cert_java,cert_linux,cert_msass,cert_msexp,cert_oracle,cert_pmp,cert_sap,cert_scrum,cert_infosec,cert_sixsigma,cert_testing2,cert_testing1,ben_equity,ben_car,ben_family,ben_edu,ben_bonus,ben_housing,ben_parking,ben_gas,ben_gym,ben_flexhours,ben_homeoffice,ben_loan,ben_healthmajor,ben_healthminor,ben_lifeins,ben_cafeteria,ben_cellphone,ben_vouchers
1105,2806:107e:12:297e:a5cc:29a0:f491:f986,2020-01-05 01:38:01.743712,,27000,0,20000,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),23,0,0,México,CDMX,godin,escuela,startup,nomina,N,mujer,pasante,,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,
2132,201.175.135.44,2020-01-13 17:30:06.590615,,27000,0,30000,0,0,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),23,0,0,México,CDMX,godin,escuela,itservices,hibrido,N,hombre,universidad,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,
2236,200.68.128.79,2020-01-14 00:37:52.392761,,25000,0,45000,0,20,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),25,0,0,México,CDMX,godin,escuela,itservices,nomina,N,hombre,pasante,,,,,,,,Y,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,Y,,,,Y,Y,Y,Y,Y,,Y,Y,,Y
2459,2806:263:c408:1be1:a556:7e5f:27e9:c983,2020-01-14 21:17:55.995314,,21000,0,15000,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),23,0,0,México,Hermosillo,godin,escuela,itservices,nomina,Y,mujer,pasante,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,,Y,Y,,Y
1576,189.253.217.216,2020-01-09 15:06:41.071222,,17200,0,0,0,100,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),23,0,0,México,Guanajuato,godin,escuela,gobierno,honorarios,N,hombre,universidad,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,201.103.104.104,2020-01-06 19:04:49.005231,,13900,0,0,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),27,0,0,México,CDMX,godin,autodidacta,itservices,honorarios,N,hombre,pasante,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,148.244.50.14,2020-01-13 16:26:57.213507,,12777,0,35000,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),28,0,0,México,CDMX,godin,escuela,itservices,nomina,N,hombre,pasante,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,Y,,,Y,,,Y
152,2806:102e:18:c61:ecd4:dfc7:fd3:d35e,2019-12-24 20:49:44.170415,,12000,0,95000,0,10,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),20,0,0,México,Puerto Vallarta,estudiante,escuela,corp,hibrido,N,hombre,prepa,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,
1229,143.202.78.12,2020-01-07 02:47:59.088793,,11000,0,0,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),23,0,0,México,Mexicali,godin,escuela,isv,nomina,N,mujer,pasante,,,,,,,,,,,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,Y,,,,,,Y,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,,
1944,129.41.86.4,2020-01-10 17:50:17.197201,,11000,0,0,0,0,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),23,0,0,México,CDMX,estudiante,escuela,startup,becario,Y,mujer,pasante,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,Y,Y,,Y,,
