"id","created","salarymx","salaryusd","extramx","extrausd","variation","english_num","english_label","age","experience","seniority","country","city","profile","edutype","orgtype","emptype","remote","gender","education","act_dba","act_req","act_arq","act_bi","act_cap","act_datascience","act_spi","act_cons","act_prog","act_mobile","act_front","act_devrel","act_dir","act_doc","act_techwrite","act_infra","act_erp","act_dataeng","act_techsales","act_pm","act_iot","act_infosec","act_soporte","act_test","act_uxd","act_ventas","lang_bash","lang_csharp","lang_clang","lang_cobol","lang_delphi","lang_elixir","lang_go","lang_groovy","lang_java","lang_js","lang_kotlin","lang_perl","lang_php","lang_plsql","lang_python","lang_ruby","lang_rust","lang_scala","lang_swift","lang_vbnet","mobile_phonegap","mobile_flutter","mobile_ionic","mobile_java_android","mobile_java_kotlin","mobile_objc","mobile_reactnative","mobile_swift","mobile_xamarin","front_angular","front_django","front_laravel","front_nextjs","front_react","front_ror","front_semanticui","front_springboot","front_svelte","front_vue","front_xamarin","db_dynamo","db_cosmos","db_cassandra","db_elastic","db_firebasert","db_firestore","db_DB2","db_sqlserver","db_mongoDB","db_mysql","db_neo4j","db_oracle","db_pgsql","db_redis","db_sap","db_snowflake","dsc_alteryx","dsc_sagemaker","dsc_azureml","dsc_dataiku","dsc_datarobot","dsc_domino","dsc_h2o","dsc_spss","dsc_watson","dsc_julia","dsc_keras","dsc_knime","dsc_matlab","dsc_pytorch","dsc_rlang","dsc_rapidminer","dsc_sas","dsc_scikit","dsc_tf","dataeng_athena","dataeng_airflow","dataeng_beam","dataeng_spark","dataeng_databand","dataeng_dbt","dataeng_fivetran","dataeng_greatexp","dataeng_hadoop","dataeng_keboola","infra_ansible","infra_chef","infra_consul","infra_datadog","infra_docker","infra_dynatrace","infra_istio","infra_jenkins","infra_k8s","infra_newrelic","infra_oshift","infra_ostack","infra_puppet","infra_spinnaker","infra_terraform","infra_vmware","cert_agile","cert_android","cert_awsdev","cert_awsarch","cert_ba","cert_cisco","cert_cobit","cert_entarch","cert_cgeit","cert_gcloudarch","cert_gdata","cert_gweb","cert_itilint","cert_itilpra","cert_java","cert_linux","cert_msass","cert_msexp","cert_oracle","cert_pmp","cert_sap","cert_scrum","cert_infosec","cert_sixsigma","cert_testing2","cert_testing1","ben_equity","ben_car","ben_family","ben_edu","ben_bonus","ben_housing","ben_parking","ben_gas","ben_gym","ben_flexhours","ben_homeoffice","ben_loan","ben_healthmajor","ben_healthminor","ben_lifeins","ben_cafeteria","ben_cellphone","ben_vouchers","covid_remoto","covid_salario","covid_carga","covid_apoyo","vacaciones","aguinaldo"
4327,"2021-10-01 18:58:50.136657000",133000,0,2100000,0,30,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),34,11,1,México,Valle de México,godin,escuela,itservices,nomina,N,hombre,maestria,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,Y,,Y,,remote,mejor,Igual,"['computadora', 'muebles', 'internet']",,
4328,"2021-10-05 23:23:45.915532000",63000,0,0,0,5,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),30,8,2,México,Tijuana,godin,escuela,startup,honorarios,Y,hombre,maestria,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,remote,mejor,disminuido,,,
4329,"2021-10-13 00:49:11.111592000",14000,0,30000,0,20,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),27,3,4,México,Mexicali,godin,escuela,itservices,nomina,N,mujer,universidad,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,Y,onsite,igual,Igual,computadora,,
4330,"2021-10-27 00:07:54.171291000",45000,0,18000,0,35,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),33,13,0,México,Culiacán,godin,escuela,startup,nomina,N,hombre,pasante,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,remote,mejor,Igual,computadora,,
4331,"2021-11-01 17:43:00.072489000",35000,0,50000,0,4,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),32,5,0,México,León,godin,trabajo,corp,nomina,N,mujer,universidad,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,Y,,Y,,,,remote,bajatemp,aumentado,computadora,,
4332,"2021-11-06 02:22:21.423740000",58000,0,80000,0,5,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),36,14,6,México,Querétaro,godin,escuela,itservices,nomina,N,hombre,pasante,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,Y,remote,bajaperm,Igual,computadora,,
4333,"2021-11-10 01:21:32.640398000",0,100,0,1,12,2,Limitado: Me doy a entender pero con errores de gramática (ILR 2),33,1,1,Perú,Lima,estudiante,online,freelance,freelance,Y,hombre,tecnica,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,remote,desempleo,disminuido,computadora,,
4334,"2021-11-19 02:44:54.298775000",99000,0,200000,0,40,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),27,7,1,México,Zacatecas,godin,escuela,startup,nomina,Y,hombre,universidad,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,Y,Y,,Y,remote,mejor,Igual,"['computadora', 'muebles', 'internet']",,
4335,"2021-11-29 19:29:36.336063000",22000,0,35000,0,50,4,Avanzado: Puedo conversar y escribir sin problemas sobre cualquier tema (ILR 4),26,2,1,México,León,godin,escuela,itservices,nomina,Y,nb,pasante,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,Y,remote,desempleo,Igual,computadora,,
4336,"2021-12-03 21:19:29.505031000",81000,0,81000,0,0,3,Profesional: Puedo interactuar profesionalmente con colegas y clientes (ILR 3),30,9,0,México,Monterrey,godin,escuela,itservices,nomina,Y,hombre,universidad,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,Y,remote,igual,Igual,computadora,,
